pid,uid,name,type,breed,colors,gender,weight,age,vaccinestatus,character1,character2,character3,like1,like2,dislike1,dislike2,dateCreated,lastmodified
pid1,uid1,Oscar,cat,Birman,black,female,9,4,not vaccinated,shy,fearful,alert,sleeping in sunbeams,cuddling,getting wet,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid2,uid1,Leo,cat,Siamese,orange,male,2,8,vaccinated,inquisitive,shy,insecure,playing with toys,chasing laser pointers,loud noises,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid3,uid2,Oscar,cat,Scottish Fold,black,female,7,10,not vaccinated,insecure,scared of people,aggressiveness,playing with toys,playing with toys,being in unfamiliar environments,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid4,uid2,Oscar,cat,Persian,brown,male,7,10,vaccinated,curious,shy,ruthlessness,cuddling,watching birds,loud noises,being in unfamiliar environments,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid5,uid3,Whiskers,cat,Abyssinian,gray,female,3,8,not vaccinated,suspicious,insecure,unpredictability,playing with toys,chasing laser pointers,being in unfamiliar environments,getting wet,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid6,uid3,Oliver,cat,Abyssinian,brown,male,8,8,vaccinated,bullying,insecure,fearful,playing with toys,cuddling,being in unfamiliar environments,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid7,uid4,Charlie,cat,Siamese,black,female,3,10,not vaccinated,active,scared of people,ruthlessness,watching birds,cuddling,loud noises,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid8,uid4,Oscar,cat,Maine Coon,white,male,3,2,vaccinated,alert,insecure,aggressiveness,sleeping in sunbeams,watching birds,loud noises,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid9,uid5,Oscar,cat,Birman,brown,female,6,10,not vaccinated,reflects affection,friendliness towards people,fearful,cuddling,watching birds,loud noises,getting wet,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid10,uid5,Whiskers,cat,British Shorthair,brown,male,5,4,vaccinated,unpredictability,alert,inventive,watching birds,playing with toys,being in unfamiliar environments,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid11,uid6,Oscar,cat,British Shorthair,gray,female,3,2,not vaccinated,curious,suspicious,reflects affection,watching birds,chasing laser pointers,getting wet,being in unfamiliar environments,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid12,uid6,Simba,cat,Scottish Fold,brown,male,8,7,vaccinated,shy,bullying,ruthlessness,watching birds,cuddling,getting wet,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid13,uid7,Tiger,cat,Siamese,black,female,8,9,not vaccinated,shy,scared of people,tyranny,chasing laser pointers,sleeping in sunbeams,loud noises,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid14,uid7,Charlie,cat,Maine Coon,white,male,5,9,vaccinated,fearful,alert,volatility,chasing laser pointers,chasing laser pointers,loud noises,being in unfamiliar environments,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid15,uid8,Milo,cat,Maine Coon,white,female,8,7,not vaccinated,alert,ruthlessness,active,playing with toys,watching birds,being handled roughly,being in unfamiliar environments,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid16,uid8,Milo,cat,Scottish Fold,brown,male,2,7,vaccinated,bullying,tyranny,shy,playing with toys,chasing laser pointers,being around dogs,being in unfamiliar environments,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid17,uid9,Milo,cat,Scottish Fold,brown,female,10,2,not vaccinated,fearful,scared of people,insecure,sleeping in sunbeams,sleeping in sunbeams,loud noises,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid18,uid9,Max,cat,Abyssinian,white,male,1,8,vaccinated,friendliness towards people,scared of people,shy,cuddling,watching birds,getting wet,being in unfamiliar environments,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid19,uid10,Oliver,cat,Ragdoll,white,female,6,2,not vaccinated,aggressiveness,unpredictability,shy,cuddling,cuddling,being around dogs,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid20,uid10,Oscar,cat,Ragdoll,gray,male,5,3,vaccinated,scared of people,fearful,insecure,watching birds,cuddling,being around dogs,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid21,uid11,Milo,cat,Sphynx,brown,female,6,6,not vaccinated,unpredictability,fearful,curious,watching birds,sleeping in sunbeams,loud noises,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid22,uid11,Max,cat,British Shorthair,white,male,1,1,vaccinated,reflects affection,ruthlessness,aggressiveness,sleeping in sunbeams,chasing laser pointers,being in unfamiliar environments,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid23,uid12,Simba,cat,Persian,orange,female,1,10,not vaccinated,ruthlessness,volatility,fearful,watching birds,watching birds,being in unfamiliar environments,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid24,uid12,Oscar,cat,Bengal,gray,male,10,6,vaccinated,volatility,aggressiveness,curious,playing with toys,sleeping in sunbeams,getting wet,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid25,uid13,Oscar,cat,Abyssinian,orange,female,7,3,not vaccinated,insecure,unpredictability,friendliness towards people,cuddling,cuddling,being around dogs,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid26,uid13,Oscar,cat,Siamese,orange,male,3,7,vaccinated,scared of people,suspicious,unpredictability,playing with toys,cuddling,being in unfamiliar environments,being in unfamiliar environments,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid27,uid14,Oliver,cat,Sphynx,orange,female,5,8,not vaccinated,smart,insecure,scared of people,cuddling,chasing laser pointers,loud noises,getting wet,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
