pid,uid,name,type,breed,colors,gender,weight,age,vaccinestatus,character1,character2,character3,like1,like2,dislike1,dislike2,dateCreated,lastmodified
pid1,uid1,Max,cat,Persian,black,female,10,10,not vaccinated,alert,aggressiveness,inventive,watching birds,playing with toys,loud noises,being in unfamiliar environments,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid2,uid1,Max,cat,Siamese,gray,male,5,9,vaccinated,fearful,fearful,aggressiveness,playing with toys,chasing laser pointers,being in unfamiliar environments,getting wet,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid3,uid2,Max,cat,Sphynx,black,female,5,3,not vaccinated,volatility,ruthlessness,curious,chasing laser pointers,chasing laser pointers,being around dogs,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid4,uid2,Tiger,cat,Birman,orange,male,4,10,vaccinated,reflects affection,curious,shy,playing with toys,chasing laser pointers,loud noises,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid5,uid3,Leo,cat,Birman,white,female,1,6,not vaccinated,shy,tyranny,smart,cuddling,watching birds,loud noises,being in unfamiliar environments,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid6,uid3,Oliver,cat,Scottish Fold,white,male,3,2,vaccinated,ruthlessness,smart,bullying,watching birds,sleeping in sunbeams,loud noises,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid7,uid4,Milo,cat,Maine Coon,orange,female,4,9,not vaccinated,insecure,curious,unpredictability,watching birds,cuddling,being around dogs,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid8,uid4,Simba,cat,Birman,gray,male,9,5,vaccinated,ruthlessness,scared of people,tyranny,playing with toys,sleeping in sunbeams,being handled roughly,being in unfamiliar environments,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid9,uid5,Oscar,cat,Sphynx,brown,female,4,9,not vaccinated,scared of people,scared of people,ruthlessness,sleeping in sunbeams,chasing laser pointers,being around dogs,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid10,uid5,Leo,cat,Persian,brown,male,8,10,vaccinated,bullying,reflects affection,bullying,cuddling,chasing laser pointers,loud noises,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid11,uid6,Tiger,cat,Abyssinian,orange,female,8,9,not vaccinated,insecure,inventive,curious,chasing laser pointers,playing with toys,being in unfamiliar environments,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
